date,price,symbol
2017-08-24,9857.05,NIFTY 50
2017-08-28,9912.8,NIFTY 50
2017-08-29,9796.05,NIFTY 50
2017-08-30,9884.4,NIFTY 50
2017-08-31,9917.9,NIFTY 50
2017-09-01,9974.4,NIFTY 50
2017-09-04,9912.85,NIFTY 50
2017-09-05,9952.2,NIFTY 50
2017-09-06,9916.2,NIFTY 50
2017-09-07,9929.9,NIFTY 50
2017-09-08,9934.8,NIFTY 50
2017-09-11,10006.05,NIFTY 50
2017-09-12,10093.05,NIFTY 50
2017-09-13,10079.3,NIFTY 50
2017-09-14,10086.6,NIFTY 50
2017-09-15,10085.4,NIFTY 50
2017-09-18,10153.1,NIFTY 50
2017-09-19,10147.55,NIFTY 50
2017-09-20,10141.15,NIFTY 50
2017-09-21,10121.9,NIFTY 50
2017-09-22,9964.4,NIFTY 50
2017-09-25,9872.6,NIFTY 50
2017-09-26,9871.5,NIFTY 50
2017-09-27,9735.75,NIFTY 50
2017-09-28,9768.95,NIFTY 50
2017-09-29,9788.6,NIFTY 50
2017-10-03,9859.5,NIFTY 50
2017-10-04,9914.9,NIFTY 50
2017-10-05,9888.7,NIFTY 50
2017-10-06,9979.7,NIFTY 50
2017-10-09,9988.75,NIFTY 50
2017-10-10,10016.95,NIFTY 50
2017-10-11,9984.8,NIFTY 50
2017-10-12,10096.4,NIFTY 50
2017-10-13,10167.45,NIFTY 50
2017-10-16,10230.85,NIFTY 50
2017-10-17,10234.45,NIFTY 50
2017-10-18,10210.85,NIFTY 50
2017-10-19,10146.55,NIFTY 50
2017-10-23,10184.85,NIFTY 50
2017-10-24,10207.7,NIFTY 50
2017-10-25,10295.35,NIFTY 50
2017-10-26,10343.8,NIFTY 50
2017-10-27,10323.05,NIFTY 50
2017-10-30,10363.65,NIFTY 50
2017-10-31,10335.3,NIFTY 50
2017-11-01,10440.5,NIFTY 50
2017-11-02,10423.8,NIFTY 50
2017-11-03,10452.5,NIFTY 50
2017-11-06,10451.8,NIFTY 50
2017-11-07,10350.15,NIFTY 50
2017-11-08,10303.15,NIFTY 50
2017-11-09,10308.95,NIFTY 50
2017-11-10,10321.75,NIFTY 50
2017-11-13,10224.95,NIFTY 50
2017-11-14,10186.6,NIFTY 50
2017-11-15,10118.05,NIFTY 50
2017-11-16,10214.75,NIFTY 50
2017-11-17,10283.6,NIFTY 50
2017-11-20,10298.75,NIFTY 50
2017-11-21,10326.9,NIFTY 50
2017-11-22,10342.3,NIFTY 50
2017-11-23,10348.75,NIFTY 50
2017-11-24,10389.7,NIFTY 50
2017-11-27,10399.55,NIFTY 50
2017-11-28,10370.25,NIFTY 50
2017-11-29,10361.3,NIFTY 50
2017-11-30,10226.55,NIFTY 50
2017-12-01,10121.8,NIFTY 50
2017-12-04,10127.75,NIFTY 50
2017-12-05,10118.25,NIFTY 50
2017-12-06,10044.1,NIFTY 50
2017-12-07,10166.7,NIFTY 50
2017-12-08,10265.65,NIFTY 50
2017-12-11,10322.25,NIFTY 50
2017-12-12,10240.15,NIFTY 50
2017-12-13,10192.95,NIFTY 50
2017-12-14,10252.1,NIFTY 50
2017-12-15,10333.25,NIFTY 50
2017-12-18,10388.75,NIFTY 50
2017-12-19,10463.2,NIFTY 50
2017-12-20,10444.2,NIFTY 50
2017-12-21,10440.3,NIFTY 50
2017-12-22,10493,NIFTY 50
2017-12-26,10531.5,NIFTY 50
2017-12-27,10490.75,NIFTY 50
2017-12-28,10477.9,NIFTY 50
2017-12-29,10530.7,NIFTY 50
2018-01-01,10435.55,NIFTY 50
2018-01-02,10442.2,NIFTY 50
2018-01-03,10443.2,NIFTY 50
2018-01-04,10504.8,NIFTY 50
2018-01-05,10558.85,NIFTY 50
2018-01-08,10623.6,NIFTY 50
2018-01-09,10637,NIFTY 50
2018-01-10,10632.2,NIFTY 50
2018-01-11,10651.2,NIFTY 50
2018-01-12,10681.25,NIFTY 50
2018-01-15,10741.55,NIFTY 50
2018-01-16,10700.45,NIFTY 50
2018-01-17,10788.55,NIFTY 50
2018-01-18,10817,NIFTY 50
2018-01-19,10894.7,NIFTY 50
2018-01-22,10966.2,NIFTY 50
2018-01-23,11083.7,NIFTY 50
2018-01-24,11086,NIFTY 50
2018-01-25,11069.65,NIFTY 50
2018-01-29,11130.4,NIFTY 50
2018-01-30,11049.65,NIFTY 50
2018-01-31,11027.7,NIFTY 50
2018-02-01,11016.9,NIFTY 50
2018-02-02,10760.6,NIFTY 50
2018-02-05,10666.55,NIFTY 50
2018-02-06,10498.25,NIFTY 50
2018-02-07,10476.7,NIFTY 50
2018-02-08,10576.85,NIFTY 50
2018-02-09,10454.95,NIFTY 50
2018-02-12,10539.75,NIFTY 50
2018-02-14,10500.9,NIFTY 50
2018-02-15,10545.5,NIFTY 50
2018-02-16,10452.3,NIFTY 50
2018-02-19,10378.4,NIFTY 50
2018-02-20,10360.4,NIFTY 50
2018-02-21,10397.45,NIFTY 50
2018-02-22,10382.7,NIFTY 50
2018-02-23,10491.05,NIFTY 50
2018-02-26,10582.6,NIFTY 50
2018-02-27,10554.3,NIFTY 50
2018-02-28,10492.85,NIFTY 50
2018-03-01,10458.35,NIFTY 50
2018-03-05,10358.85,NIFTY 50
2018-03-06,10249.25,NIFTY 50
2018-03-07,10154.2,NIFTY 50
2018-03-08,10242.65,NIFTY 50
2018-03-09,10226.85,NIFTY 50
2018-03-12,10421.4,NIFTY 50
2018-03-13,10426.85,NIFTY 50
2018-03-14,10410.9,NIFTY 50
2018-03-15,10360.15,NIFTY 50
2018-03-16,10195.15,NIFTY 50
2018-03-19,10094.25,NIFTY 50
2018-03-20,10124.35,NIFTY 50
2018-03-21,10155.25,NIFTY 50
